student_id,programming_score,mathematics_score,database_score,ai_score,ml_score,web_score,data_science_score,interest_ai,interest_web,interest_data,interest_programming,interest_cloud,interest_security,preferred_elective
S0001,74.6,69.1,58.2,85.0,65.1,61.1,64.5,5,3,2,2,1,2,Artificial Intelligence
S0002,54.4,59.1,55.0,73.8,77.9,60.5,58.9,5,5,3,4,3,4,Artificial Intelligence
S0003,81.3,63.8,71.5,99.3,65.5,54.6,77.3,5,2,4,5,3,3,Artificial Intelligence
S0004,84.1,79.5,68.8,29.0,100.0,71.4,72.1,5,5,3,4,4,3,Machine Learning
S0005,40.7,70.0,43.9,54.7,88.6,68.5,0.3,3,3,2,4,2,1,Machine Learning
S0006,50.5,75.1,81.8,50.7,53.8,41.1,70.9,2,5,2,4,1,3,Data Science
S0007,71.9,80.1,63.6,20.5,53.6,40.2,39.9,3,2,5,1,3,3,Cyber Security
S0008,65.3,64.4,48.3,81.2,69.4,71.4,31.6,2,5,2,1,3,3,Web Development
S0009,69.7,81.3,82.8,54.6,43.2,52.8,56.2,5,4,5,2,4,2,Data Science
S0010,57.2,75.7,74.4,74.8,83.3,69.5,68.2,3,4,4,4,1,1,Machine Learning
S0011,83.2,51.5,46.0,100.0,67.2,76.7,27.2,2,3,5,4,4,5,Web Development
S0012,81.7,91.6,91.7,52.9,65.1,45.9,74.1,4,3,3,4,3,5,Cyber Security
S0013,71.0,62.5,74.9,51.6,73.7,43.8,75.3,2,3,2,2,4,5,Cyber Security
S0014,86.9,45.2,64.8,62.4,94.5,90.1,60.9,2,5,1,5,5,2,Web Development
S0015,77.0,54.3,88.9,79.7,63.4,70.3,42.6,2,4,3,3,2,4,Cyber Security
S0016,57.1,54.7,67.4,48.7,57.7,58.7,40.4,1,1,2,2,4,1,Cloud Computing
S0017,75.5,70.8,64.6,47.4,90.2,51.0,80.5,1,4,1,4,1,5,Cyber Security
S0018,55.6,65.9,55.1,81.1,79.4,57.3,29.8,3,5,5,1,5,1,Artificial Intelligence
